city_id,total_trips,avg_fare_per_km,avg_fare_per_trip,percentage_contribution
RJ01,37207497,16.25217927,483.9181,34.39149
KL01,16997596,14.13468751,335.2451,15.71115
CH01,11058401,12.17599257,283.6870,10.22146
UP01,9463551,12.14310305,147.1804,8.74731
AP01,8018282,12.70375434,282.6723,7.41143
MP01,7635228,11.06560002,179.8386,7.05736
GJ01,6431599,10.91606485,117.2729,5.94483
KA01,4054745,15.39968486,249.7072,3.74787
GJ02,3797200,10.54418289,118.5662,3.50981
TN01,3523992,11.30485336,166.9822,3.25728
