city_id,month_name,actual_trips,target_trips,performance_status,percentage_difference
KA01,March,661840,5266000,"Below Target",-87.43183
KA01,February,670035,5336000,"Below Target",-87.44312
KA01,January,613540,4970000,"Below Target",-87.65513
KA01,June,715605,7105000,"Below Target",-89.92815
KA01,April,648555,6507500,"Below Target",-90.03373
KA01,May,745170,7517500,"Below Target",-90.08753
AP01,February,1371747,21568500,"Below Target",-93.64004
AP01,March,1385781,21946500,"Below Target",-93.68564
AP01,January,1261087,20106000,"Below Target",-93.72781
AP01,June,1264398,22390000,"Below Target",-94.35285
AP01,April,1390682,24690000,"Below Target",-94.36743
AP01,May,1344587,24060000,"Below Target",-94.41153
RJ01,June,4788771,93499000,"Below Target",-94.87827
RJ01,April,5490146,108357000,"Below Target",-94.93328
RJ01,May,5495976,109012500,"Below Target",-94.95840
TN01,February,571052,11914000,"Below Target",-95.20688
TN01,January,611533,12778500,"Below Target",-95.21436
TN01,June,528702,11053000,"Below Target",-95.21667
TN01,April,612431,12813500,"Below Target",-95.22042
TN01,March,611956,12880000,"Below Target",-95.24879
CH01,June,1717223,36174000,"Below Target",-95.25288
CH01,April,1584025,33396000,"Below Target",-95.25684
TN01,May,588318,12425000,"Below Target",-95.26505
CH01,May,1850777,39720000,"Below Target",-95.34044
KL01,February,2605593,57660000,"Below Target",-95.48111
KL01,January,2465058,55080000,"Below Target",-95.52459
KL01,March,3178390,71212500,"Below Target",-95.53675
CH01,February,2108290,51709000,"Below Target",-95.92278
CH01,January,1934293,47670000,"Below Target",-95.94233
CH01,March,1863793,45983000,"Below Target",-95.94678
RJ01,February,7747202,206336000,"Below Target",-96.24535
RJ01,March,6462092,173121000,"Below Target",-96.26730
KL01,April,3274496,87858000,"Below Target",-96.27297
KL01,June,2140313,57591000,"Below Target",-96.28360
RJ01,January,7223310,194688000,"Below Target",-96.28980
KL01,May,3333746,90126000,"Below Target",-96.30102
MP01,February,1315118,50470000,"Below Target",-97.39426
MP01,March,1266082,49133000,"Below Target",-97.42315
MP01,January,1199196,47159000,"Below Target",-97.45712
MP01,June,1138731,47160000,"Below Target",-97.58539
MP01,April,1335105,55612500,"Below Target",-97.59927
MP01,May,1380996,58402500,"Below Target",-97.63538
GJ02,February,620684,31368000,"Below Target",-98.02128
GJ02,March,663698,33588000,"Below Target",-98.02400
GJ02,January,564904,28650000,"Below Target",-98.02826
GJ02,June,559298,30452500,"Below Target",-98.16338
GJ02,April,706250,38616500,"Below Target",-98.17112
GJ02,May,682366,37693500,"Below Target",-98.18970
UP01,June,1506134,112640000,"Below Target",-98.66288
UP01,May,1425570,106755000,"Below Target",-98.66463
UP01,April,1499160,112332000,"Below Target",-98.66542
GJ01,February,1072366,81621000,"Below Target",-98.68616
GJ01,March,1089004,83403000,"Below Target",-98.69429
GJ01,January,979549,75222000,"Below Target",-98.69779
GJ01,April,1154909,98310000,"Below Target",-98.82524
GJ01,June,998109,85440000,"Below Target",-98.83180
GJ01,May,1137662,97740000,"Below Target",-98.83603
UP01,January,1601672,141154000,"Below Target",-98.86530
UP01,February,1777269,156780000,"Below Target",-98.86639
UP01,March,1653746,145912000,"Below Target",-98.86661
