city_id,trip_count,total_repeat_passenger_count,percentage_distribution
AP01,9-Trips,45,0.88097
AP01,8-Trips,71,1.38998
AP01,7-Trips,101,1.97729
AP01,6-Trips,163,3.19107
AP01,5-Trips,278,5.44244
AP01,4-Trips,510,9.98434
AP01,3-Trips,1275,24.96085
AP01,2-Trips,2618,51.25294
AP01,10-Trips,47,0.92013
CH01,9-Trips,118,2.32742
CH01,8-Trips,176,3.47140
CH01,7-Trips,278,5.48323
CH01,6-Trips,376,7.41617
CH01,5-Trips,619,12.20907
CH01,4-Trips,798,15.73964
CH01,3-Trips,976,19.25049
CH01,2-Trips,1638,32.30769
CH01,10-Trips,91,1.79487
GJ01,9-Trips,150,1.73651
GJ01,8-Trips,539,6.23987
GJ01,7-Trips,1027,11.88933
GJ01,6-Trips,1594,18.45335
GJ01,5-Trips,1706,19.74994
GJ01,4-Trips,1430,16.55476
GJ01,3-Trips,1232,14.26256
GJ01,2-Trips,843,9.75920
GJ01,10-Trips,117,1.35448
GJ02,9-Trips,89,2.04786
GJ02,8-Trips,251,5.77543
GJ02,7-Trips,559,12.86240
GJ02,6-Trips,829,19.07501
GJ02,5-Trips,785,18.06259
GJ02,4-Trips,718,16.52094
GJ02,3-Trips,616,14.17395
GJ02,2-Trips,429,9.87115
GJ02,10-Trips,70,1.61068
KA01,9-Trips,8,0.54164
KA01,8-Trips,21,1.42180
KA01,7-Trips,26,1.76032
KA01,6-Trips,60,4.06229
KA01,5-Trips,86,5.82261
KA01,4-Trips,188,12.72850
KA01,3-Trips,361,24.44144
KA01,2-Trips,720,48.74746
KA01,10-Trips,7,0.47393
KL01,9-Trips,92,1.20640
KL01,8-Trips,126,1.65224
KL01,7-Trips,161,2.11120
KL01,6-Trips,298,3.90768
KL01,5-Trips,494,6.47784
KL01,4-Trips,901,11.81484
KL01,3-Trips,1857,24.35090
KL01,2-Trips,3635,47.66588
KL01,10-Trips,62,0.81301
MP01,9-Trips,172,2.38359
MP01,8-Trips,235,3.25665
MP01,7-Trips,378,5.23836
MP01,6-Trips,494,6.84590
MP01,5-Trips,746,10.33814
MP01,4-Trips,967,13.40078
MP01,3-Trips,1637,22.68570
MP01,2-Trips,2478,34.34035
MP01,10-Trips,109,1.51053
RJ01,9-Trips,116,1.19810
RJ01,8-Trips,184,1.90043
RJ01,7-Trips,244,2.52014
RJ01,6-Trips,400,4.13138
RJ01,5-Trips,609,6.29002
RJ01,4-Trips,1173,12.11527
RJ01,3-Trips,2007,20.72919
RJ01,2-Trips,4855,50.14460
RJ01,10-Trips,94,0.97087
TN01,9-Trips,59,2.31282
TN01,8-Trips,157,6.15445
TN01,7-Trips,267,10.46648
TN01,6-Trips,450,17.64014
TN01,5-Trips,526,20.61936
TN01,4-Trips,397,15.56252
TN01,3-Trips,378,14.81772
TN01,2-Trips,286,11.21129
TN01,10-Trips,31,1.21521
UP01,9-Trips,183,1.90685
UP01,8-Trips,617,6.42909
UP01,7-Trips,1087,11.32646
UP01,6-Trips,1937,20.18339
UP01,5-Trips,1768,18.42242
UP01,4-Trips,1555,16.20298
UP01,3-Trips,1417,14.76503
UP01,2-Trips,927,9.65927
UP01,10-Trips,106,1.10451
