city_id,month_name,total_repeat_passengers
AP01,April,992
AP01,February,790
AP01,January,650
AP01,June,802
AP01,March,923
AP01,May,951
CH01,April,789
CH01,February,853
CH01,January,720
CH01,June,867
CH01,March,872
CH01,May,969
GJ01,April,1551
GJ01,February,1313
GJ01,January,1184
GJ01,June,1490
GJ01,March,1494
GJ01,May,1606
GJ02,April,862
GJ02,February,610
GJ02,January,544
GJ02,June,703
GJ02,March,759
GJ02,May,868
KA01,April,236
KA01,February,183
KA01,January,172
KA01,June,329
KA01,March,208
KA01,May,349
KL01,April,1576
KL01,February,1005
KL01,January,795
KL01,June,1049
KL01,March,1348
KL01,May,1853
MP01,April,1295
MP01,February,1103
MP01,January,1033
MP01,June,1131
MP01,March,1091
MP01,May,1563
RJ01,April,1736
RJ01,February,1661
RJ01,January,1422
RJ01,June,1181
RJ01,March,1840
RJ01,May,1842
TN01,April,480
TN01,February,346
TN01,January,392
TN01,June,402
TN01,March,427
TN01,May,504
UP01,April,1496
UP01,February,1659
UP01,January,1431
UP01,June,1727
UP01,March,1622
UP01,May,1662
